code,phrase,employee classification rate
9549,"ADVERTISING COMPANIES outdoor selling space for advertising purposes including shop, yard or storage operations; the erection, painting, repair and maintenance, or removal of signs; bill posting; and sign painting or lettering in or upon buildings or structures",$10.50
3165(1),"AIR CONDITIONING OR REFRIGERATION EQUIPMENT MFG.",$3.43
7601,"AERIAL LINE CONSTRUCTION by contractor not power lines",$2.86
9180(1),"AMUSEMENT OR RECREATIONAL FACILITIES N.O.C. operation or maintenance of amusement devices including ticket collectors connected therewith",$2.74
7409,"AIRCRAFT OPERATION agricultural dusting, spraying or seeding members of the flying crew",$7.38
3805(1),"AIRCRAFT ENGINE MFG. OR REBUILDING",$0.94
7424(2),"AIRCRAFT OPERATION flight schools and pilot training members of the flying crew",$1.51
7410,"AIRCRAFT OPERATION agricultural dusting, spraying or seeding not members of the flying crew",$4.34
7424(1),"AIRCRAFT OPERATION other than agricultural or scheduled air carriers members of the flying crew N.O.C.",$1.51
7428(2),"AIRCRAFT OPERATION flight schools and pilot training not members of the flying crew including gate and ticket counter personnel at airports",$2.83
7405,"AIRCRAFT OPERATION scheduled passenger or cargo air carriers members of the flying crew",$1.67
7428(1),"AIRCRAFT OPERATION other than agricultural or scheduled air carriers not members of the flying crew including gate and ticket counter personnel at airports N.O.C.",$2.83
7421,"AIRCRAFT OPERATION transportation of personnel in the business of an employer not otherwise engaged in aircraft operation members of the flying crew",$1.47
7403,"AIRCRAFT OPERATION scheduled passenger or cargo air carriers not members of the flying crew including gate and ticket counter personnel at airports",$5.35
7428(3),"AIRCRAFT REMANUFACTURE, CONVERSION, MODIFICATION AND REPAIR COMPANIES not engaged in the original manufacturing of aircraft",$2.83
3830(1),"AIRCRAFT OR SPACECRAFT MFG. including foundry operations",$1.54
3066(3),"ALUMINUM WARE MFG. shop only from sheet aluminum",$4.38
7429,"AIRPORT OPERATORS including gate and ticket counter personnel at airports",$1.93
9016(1),"AMUSEMENT OR RECREATIONAL FACILITIES N.O.C. all employees other than those engaged in the operation or maintenance of amusement devices, restaurants or retail stores",$2.89
7332,"AMBULANCE SERVICES all operations including medical technicians and attendants and maintenance of vehicles and equipment",$2.53
4511,"ANALYTICAL OR TESTING LABORATORIES including outside operations and sample collection N.O.C.",$0.45
9007,"APARTMENT OR CONDOMINIUM COMPLEX OPERATION FOR SENIORS age restricted not Congregate Living Facilities or Homeowners Associations all other employees including resident employees and resident Clerical Office Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$3.20
9011(1),"APARTMENT OR CONDOMINIUM COMPLEX OPERATION N.O.C. not Homeowners Associations all other employees including resident employees and resident Clerical Office Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$3.47
8391,"AUTOMOBILE OR TRUCK DEALERS all employees other than vehicle salespersons including estimators, service writers, vehicle maintenance and repair, shuttle drivers, accessory or spare parts sales and the transporting of vehicles that are owned by the employer",$2.56
8740(6),"APARTMENT OR CONDOMINIUM COMPLEX OPERATION FOR SENIORS age restricted not Congregate Living Facilities or Homeowners Associations property management supervisors not resident managers or supervisors",$0.74
8740(1),"APARTMENT OR CONDOMINIUM COMPLEX OPERATION N.O.C. not Homeowner Associations property management supervisors not resident managers or supervisors",$0.74
5473,"ASBESTOS ABATEMENT all operations including shop, yard or storage operations",$8.29
7198(2),"ARMORED TRANSPORT SERVICES including terminal employees and mechanics",$7.63
4740(2),"ASPHALT OR TAR DISTILLING OR REFINING including manufacture of products obtained from such distilling or refining and the saturation of paper or felt with tar or asphalt",$0.99
1463(1),"ASPHALT WORKS grinding, pulverizing or mixing asphalt",$3.07
9182,"ATHLETIC TEAMS OR ATHLETIC FACILITIES all employees other than players, umpires, referees and game officials",$1.19
9181,"ATHLETIC TEAMS OR ATHLETIC FACILITIES players, umpires, referees and game officials. The entire remuneration of each player shall be included, subject to a maximum of $144,300 per season. When a player works for two or more teams in the same sport during the season, the $144,300 per player maximum shall be prorated.",$9.16
3681(4),"AUDIO/VIDEO ELECTRONIC PRODUCTS MFG.",$0.68
7607(2),"AUDIO POST-PRODUCTION computer or electronic all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.25
2797(2),"AUTOMOBILE BODY MFG.",$7.21
8803,"AUDITING, ACCOUNTING OR MANAGEMENT CONSULTING SERVICES all employees including Clerical Office Employees and Clerical Telecommuter Employees. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.13
5185,"AUTOMATIC SPRINKLER INSTALLATION within buildings including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $29.00 per hour",$4.57
5186,"AUTOMATIC SPRINKLER INSTALLATION within buildings including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $29.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $29.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $29.00 per hour shall be classified as 5185, Automatic Sprinkler Installation.",$1.95
8393,"AUTOMOBILE OR TRUCK BODY REPAIRING AND PAINTINGincluding estimators, service writers and customer service representatives",$2.54
3808,"AUTOMOBILE OR MOTORCYCLE MFG. OR ASSEMBLING",$3.54
8748,"AUTOMOBILE OR TRUCK DEALERS vehicle salespersons",$0.86
3805(2),"AUTOMOBILE OR TRUCK ENGINE MFG.",$0.94
3821,"AUTOMOBILE OR TRUCK DISMANTLING including transport of vehicles owned by the employer, the salvaging or junking of parts and store operations",$6.69
2003,"BAKERIES OR CRACKER MFG.",$6.07
8387(2),"AUTOMOBILE OR TRUCK OIL AND FLUID REPLACEMENT SERVICE FACILITIES no gasoline sales or repair all employees including accessories and spare parts departments and estimators, service writers, customer service representatives and cashiers N.O.C.",$3.02
